"lsd","lat","lng"
"10-22-006-05W2",49.4882,-102.5982
"13-07-007-18W3",49.5509,-108.4414
"14-06-006-12W2",49.4481,-103.6123
"06-33-007-08W2",49.6015,-103.0367
"11-23-009-09W2",49.75,-103.127
"16-03-031-22W3",51.6322,-109.0314
"04-34-008-33W1",49.6955,-101.8921
"08-12-007-12W2",49.5426,-103.4997
"11-15-031-23W3",51.6578,-109.1848
"16-09-011-18W3",49.9004,-108.3968
"13-35-007-12W2",49.6081,-103.5391
"08-13-005-34W1",49.3882,-101.9378
"12-11-048-23W3",53.127,-109.2691
"14-22-006-13W2",49.4917,-103.6795
"03-33-015-17W3",50.2974,-108.2877
"02-29-004-33W1",49.3262,-101.8981
"04-16-009-19W3",49.7295,-108.5315
"01-28-032-23W3",51.767,-109.1967
"13-17-012-27W3",50.0024,-109.6651
"11-09-015-18W3",50.2464,-108.4252
"06-23-006-02W2",49.4846,-102.1774
"06-31-014-17W3",50.2135,-108.3169
"11-02-006-11W2",49.4446,-103.3881
"15-19-004-20W3",49.3181,-108.6824
"16-24-004-01W2",49.3172,-102.0093
"13-11-006-30W1",49.4714,-101.4347
"08-29-005-06W2",49.4119,-102.7718
"10-14-008-08W2",49.6483,-102.9859
"01-33-049-20W3",53.2653,-108.8598
"11-28-005-13W2",49.4154,-103.702
"09-32-007-07W2",49.6046,-102.9124
"02-36-008-06W2",49.6845,-102.6923
"12-01-049-24W3",53.1999,-109.3909
"01-05-007-08W2",49.5246,-103.0481
"04-12-017-18W3",50.4138,-108.3619
"14-32-045-27W3",52.9274,-109.8895
"14-35-015-29W3",50.3082,-109.8919
"04-02-051-22W3",53.3677,-109.1481
"09-06-010-15W2",49.794,-104.0193
"13-25-022-21W3",50.9053,-108.7949
"16-03-031-21W3",51.6322,-108.8895
"05-11-047-24W3",53.036,-109.4152
"12-06-051-24W3",53.3755,-109.5416
"05-08-048-19W3",53.1234,-108.7561
"05-06-050-23W3",53.2834,-109.3665
"02-18-032-18W3",51.7379,-108.5409
"16-07-047-27W3",53.0432,-109.9335
"14-18-010-01W2",49.8266,-102.1335
"14-05-004-33W1",49.278,-101.9034
"13-35-050-22W3",53.3637,-109.1229
"16-21-003-32W1",49.2351,-101.7342
"11-24-004-18W2",49.3135,-104.3072
"15-26-001-31W1",49.0714,-101.5274
"08-04-005-07W2",49.3536,-102.8839
"08-20-019-29W3",50.6211,-109.9781
"11-27-019-25W3",50.6396,-109.3893
"06-18-013-24W3",50.0825,-109.2728
"12-32-006-15W2",49.5173,-103.999
"09-15-002-34W1",49.1264,-101.9473
"12-17-048-21W3",53.1417,-109.0496
"14-03-018-29W3",50.4977,-109.915
"10-35-015-29W3",50.3046,-109.8863
"15-04-022-21W3",50.847,-108.8527
"06-24-007-01W2",49.5716,-102.0204
"03-07-001-12W2",49.0158,-103.6007
"06-16-017-25W3",50.4321,-109.3876
"15-03-053-25W3",53.5537,-109.603
"05-16-050-24W3",53.3124,-109.4641
"08-30-012-25W3",50.0243,-109.398
"09-32-006-15W2",49.5173,-103.9824
"10-13-006-33W1",49.4822,-101.808
"11-03-023-19W3",50.9306,-108.5769
"07-24-051-25W3",53.4155,-109.554
"08-13-020-25W3",50.6943,-109.3317
"14-23-009-09W2",49.7536,-103.127
"16-01-016-25W3",50.3228,-109.3075
"06-17-017-24W3",50.4321,-109.273
"05-14-008-07W2",49.6446,-102.8614
"13-13-009-06W2",49.7392,-102.7034
"10-10-005-26W3",49.3727,-109.4223
"13-07-049-19W3",53.218,-108.7804
"15-13-018-17W3",50.5266,-108.2131
"09-15-050-22W3",53.3162,-109.1292
"13-15-032-23W3",51.7487,-109.1906
"02-34-050-21W3",53.3526,-108.9881
"13-07-031-22W3",51.6467,-109.1198
"04-30-011-18W3",49.9332,-108.4591
"04-05-010-09W2",49.7866,-103.2002
"04-03-032-27W3",51.7088,-109.7579
"11-10-031-23W3",51.6431,-109.1849
"05-03-006-14W2",49.441,-103.8196
"16-01-031-27W3",51.6324,-109.6932
"07-03-051-20W3",53.3715,-108.8655
"10-32-051-25W3",53.4482,-109.6523
"06-11-013-24W3",50.0679,-109.1817
"01-15-019-25W3",50.6033,-109.3779
"13-06-013-26W3",50.0606,-109.5515
"07-31-033-27W3",51.8724,-109.8174
"07-03-002-32W1",49.0936,-101.6841
"13-13-047-23W3",53.0579,-109.2447
"01-18-004-08W2",49.2918,-103.0631
"03-04-004-04W2",49.2628,-102.4914
"14-28-003-01W2",49.2446,-102.0878
"11-02-005-04W2",49.3573,-102.4466
"03-09-017-18W3",50.4138,-108.425
"05-07-049-23W3",53.2107,-109.3665
"06-18-001-04W2",49.0341,-102.5352
"01-34-001-15W2",49.0745,-103.9235
"04-27-035-25W3",52.0288,-109.4995
"13-22-002-30W1",49.1456,-101.4266
"11-06-031-22W3",51.6286,-109.114
"04-19-008-08W2",49.6555,-103.0874
"10-26-044-24W3",52.8221,-109.3758
"06-01-006-13W2",49.4409,-103.6347
"15-31-005-13W2",49.4335,-103.7413
"02-07-031-27W3",51.6361,-109.8174
"04-14-005-04W2",49.3792,-102.4521
"02-12-051-24W3",53.3823,-109.4063
"02-25-050-21W3",53.3381,-108.939
"04-24-048-24W3",53.1489,-109.3908
"07-29-049-27W3",53.2544,-109.9151
"14-20-040-28W3",52.4613,-109.9988
"05-20-001-02W2",49.0488,-102.2497
"14-11-003-32W1",49.2055,-101.7001
"13-05-008-08W2",49.6228,-103.0648
"03-27-032-23W3",51.767,-109.1848
"06-06-013-26W3",50.0534,-109.5458
"10-12-036-07W3",52.0801,-106.8696
"08-12-049-24W3",53.2107,-109.3728
"14-14-015-19W3",50.2646,-108.5167
"09-25-030-27W3",51.6004,-109.6635
"15-28-001-34W1",49.0709,-101.9751
"16-16-012-25W3",50.0023,-109.3526
"06-05-022-20W3",50.8398,-108.743
"03-07-016-28W3",50.3265,-109.8461
"10-27-036-26W3",52.1235,-109.6305
"13-17-027-26W3",51.3129,-109.6341
"15-31-022-20W3",50.9197,-108.7604
"13-29-031-19W3",51.6905,-108.6708
"08-31-014-29W3",50.2136,-109.9443
"04-31-008-06W2",49.6846,-102.8164
